Ensembl_ID,ext_gene,biotype,chr,WT.6dpf.1,WT.6dpf.4,pex5KO.6dpf.1,pex5KO.6dpf.2
ENSDARG00000070620,grin2db,protein_coding,16,2.884896928,0.836143193,2.646399512,1.620016101
ENSDARG00000078520,ikbip,protein_coding,4,2.739181937,2.513901711,1.702536188,1.912667577
ENSDARG00000059093,ank1a,protein_coding,5,0,1.36207273,0,0
ENSDARG00000070362,cx30.9,protein_coding,19,0.773671072,0,0,0
ENSDARG00000008019,mxg,protein_coding,25,0.773671072,0,0,0
ENSDARG00000111536,si:ch211-113a14.19,protein_coding,25,0,0,0,0
ENSDARG00000024651,snrpa1,protein_coding,7,3.856256294,4.252569766,3.617490216,4.192315613
ENSDARG00000024488,top2a,protein_coding,12,0.773671072,1.36207273,1.323745211,1.912667577
ENSDARG00000101225,cngb3.1,protein_coding,24,0,0,0,0
ENSDARG00000061274,lss,protein_coding,9,0,0.836143193,2.809950102,0.758099792
ENSDARG00000062695,ccdc126,protein_coding,19,0.773671072,1.746662492,2.002271038,0
ENSDARG00000021402,mcm3ap,protein_coding,9,1.274547371,1.746662492,0,0.758099792
ENSDARG00000060350,apoda.2,protein_coding,2,5.852227666,7.275315724,6.306769725,5.884255293
ENSDARG00000030166,hyi,protein_coding,6,6.081164171,6.52499533,6.876445577,6.700411583
ENSDARG00000045525,tmcc3,protein_coding,4,0,0,0,0.758099792
ENSDARG00000101556,si:ch1073-475a24.1,protein_coding,5,0.773671072,0,0,0
ENSDARG00000062420,nfia,protein_coding,22,4.172387395,0.836143193,3.212153657,2.852269367
ENSDARG00000103885,si:dkey-161l11.75,TR_J_gene,2,0,0,0,0
ENSDARG00000102615,fra10ac1,protein_coding,12,1.645629537,1.746662492,2.461908937,2.155848877
ENSDARG00000013057,hoxb5a,protein_coding,3,1.274547371,1.746662492,1.702536188,1.620016101
ENSDARG00000077946,smarcc2,protein_coding,6,0.773671072,0,0.808653096,0.758099792
